"metrica","train","test"
"AUC-ROC",0.95999865040783,0.927494643403734
"Gini",0.91999730081566,0.854989286807469
"KS",0.817072622117004,0.735858585858586
"AUC-PR",0.458402106281803,0.331144986559423
"Umbral (Youden)",NA,0.488524246599789
"Sensibilidad (Recall quiebras)",NA,0.818181818181818
"Especificidad",NA,0.877272727272727
"Accuracy del modelo",NA,0.875366568914956
"Accuracy modelo naive (predecir siempre 'no quiebra')",NA,0.967741935483871
